Dish Name,Sweet,Sour,Salty,Bitter,Umami,Spiciness,Texture - Crunchy,Texture - Soft,Texture - Gooey,Texture - Smooth,Texture - Chewy,Texture - Grainy,Texture - Creamy,Texture - Juicy,Budget,Budget Rating,Allergies,Allergy Rating,Dietary Restrictions,Dietary Restrictions Rating,Protein,Protein Rating,Sensitive Ingredients,Sensitive Ingredients Rating,Cuisine,Cuisine Rating,Innovation,Freshness,Preparation Method,Portion Size,Temperature,Ethical Sourcing,Ethical Rating,Environmental Impact,Seasonality,Popularity Rating,Nutritional Value,Preparation Time,Skill Level Required
Pizza,6,3,7,2,8,2,1,1,0,0,0,0,1,0,15,3,2,2,8,3,1,4,5,2,1,5,3,4,1,4,1,4,3,3,3,5,3,2,2
Sushi,3,4,6,1,9,3,0,1,0,1,0,0,0,1,20,4,8,4,1,2,5,4,1,2,2,5,4,5,3,3,2,5,4,2,2,5,4,1,3
Tacos,4,5,7,2,7,6,1,1,0,0,0,0,0,1,10,2,4,3,1,2,2,4,6,3,3,4,3,4,2,4,1,3,2,3,3,5,3,2,2
Burger,3,2,8,2,8,2,1,1,0,0,0,0,0,1,12,3,5,3,8,3,1,5,4,2,9,4,2,3,1,5,1,2,2,4,3,5,3,2,1
Paella,3,3,7,2,9,3,0,1,0,1,0,0,0,1,18,4,4,3,1,2,5,4,3,2,4,5,3,5,2,4,1,4,3,3,3,5,4,2,3
Croissant,8,1,5,3,5,1,1,1,0,1,0,0,1,0,4,2,2,2,3,2,8,2,1,1,4,4,2,4,1,2,1,1,2,2,2,5,2,1,1
Butter Chicken,4,3,6,2,8,5,0,1,0,1,0,0,0,1,16,4,5,4,1,2,2,5,4,3,5,5,3,4,2,4,1,3,3,3,3,5,4,2,2
Dim Sum,3,4,6,2,8,3,0,1,0,1,0,0,0,1,15,3,3,3,1,2,5,4,2,2,2,5,4,5,3,3,1,5,4,2,2,5,4,2,3
Pad Thai,5,6,7,2,8,6,0,1,0,1,0,0,0,1,12,3,6,4,1,2,5,4,6,3,7,5,3,4,2,4,1,3,3,3,3,5,4,2,2
Poutine,3,2,8,2,8,1,1,1,1,0,0,0,1,1,10,3,2,2,8,3,1,4,5,2,1,4,2,3,1,5,1,2,2,4,3,5,3,2,1
